Input,Output,Corruption Rate,Precision,Recall,F1 Score,Accuracy,Time (s)
16,64,0.4,0.772229909799098,0.784385373166292,0.7774420551457124,0.8024096385542169,862.6495181545615
16,64,0.5,0.7754200938588081,0.7922154406253346,0.7821013943177177,0.8048192771084337,861.6963865747675
16,64,0.6,0.7961685823754789,0.8103919049148731,0.80222743029488,0.8240963855421687,862.5791398882866
16,64,0.7,0.7913405578968493,0.8109005246814434,0.7989354073940091,0.8192771084337349,863.7334628868848
16,64,0.8,0.7512858379589551,0.7641878145411715,0.756607757272443,0.7831325301204819,852.7454089364037
64,16,0.4,0.7490888046101561,0.7707597173144876,0.7561941251596425,0.7783132530120482,712.3343910388649
64,16,0.5,0.7601093718643388,0.7775725452403898,0.7667650725770505,0.7903614457831325,711.1580593213439
64,16,0.6,0.7597138820204874,0.7755514509048078,0.7659607568597708,0.7903614457831325,712.2092888262123
64,16,0.7,0.7468553459119497,0.7626753399721597,0.7529378267846975,0.7783132530120482,713.5132907778025
64,16,0.8,0.7492430741282736,0.7644421244244566,0.7552003318878063,0.7807228915662651,708.0604006862268
64,64,0.4,0.7509609471094711,0.7621667202055895,0.7557290849160258,0.7831325301204819,906.5459119305015
64,64,0.5,0.7601093718643388,0.7775725452403898,0.7667650725770505,0.7903614457831325,907.0095388740301
64,64,0.6,0.7610421836228287,0.7816147339115537,0.7683215585115598,0.7903614457831325,908.4263019068167
64,64,0.7,0.772109204865353,0.7742799014883821,0.7731696261931424,0.8024096385542169,908.9637668095529
64,64,0.8,0.7751675296984466,0.7901943462897527,0.7813359873543704,0.8048192771084337,908.9495462337509
